#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-11-16T15:22:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ582c79556c5c 
#INFO -out.max=unlimited 
#INFO queryParameters=15 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/AJ/131/2766/table5
#-nav=cat:J/AJ/131/2766&tab:{J/AJ/131/2766/table5}&key:source=J/AJ/131/2766/table5&HTTPPRM:&&-ref=VIZ582c79556c5c&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=z&-out=imag&-out=iMAG&-out=Cor&-ignore=SDSS=*&SDSS=SDSS&NED=NED&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/131/2766/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/131/2766/table5
#-order=I
#-out=z
#-out=imag
#-out=iMAG
#-out=Cor
#

#RESOURCE=yCat_51312766
#Name: J/AJ/131/2766
#Title: Quasar luminosity function from SDSS-DR3 (Richards+, 2006)
#Table J_AJ_131_2766_table5:
#Name: J/AJ/131/2766/table5
#Title: Statistical quasar sample
#---Details of Columns:
#     z          (F6.3)  Redshift [ucd=src.redshift]
#     imag (mag) (F5.2)  Dereddened i band magnitude [ucd=phot.mag;em.opt.I]
#     iMAG (mag) (F6.2)  Absolute i band magnitude at z=2 [ucd=phys.magAbs]
#     Cor        (F5.2)  [0,1] Selection function value [ucd=meta.note]
# ------ ----- ------ -----
#        imag  iMAG        
# z      (mag) (mag)  Cor  
# ------ ----- ------ -----
 2.017 18.95 -26.79  0.95
 2.055 18.58 -27.21  0.95
 1.468 18.91 -25.99  0.95
 1.396 18.87 -25.95  0.95
 1.491 17.86 -27.06  0.95
 2.835 19.72 -26.85  0.02
 1.417 19.04 -25.82  0.95
 1.664 19.03 -26.17  0.95
 2.390 18.60 -27.63  0.75
 2.093 18.81 -27.03  0.95
 1.304 18.62 -26.05  0.95
 0.794 18.53 -25.16  0.95
 1.676 18.99 -26.22  0.95
 1.956 18.95 -26.69  0.95
 2.212 18.52 -27.49  0.93
 0.934 18.79 -25.25  0.95
 0.469 18.99 -23.35  0.95
 0.975 18.97 -25.15  0.95
 1.215 18.22 -26.29  0.95
 1.523 18.92 -26.05  0.95
 1.301 17.91 -26.75  0.95
 1.202 18.38 -26.11  0.95
 1.961 18.85 -26.80  0.95
 0.513 17.53 -25.03  0.95
 1.280 18.62 -26.01  0.95
 0.895 18.84 -25.12  0.95
 2.266 18.89 -27.19  0.86
 1.536 19.07 -25.91  0.95
 0.524 18.91 -23.70  0.95
 2.919 19.60 -27.04  0.17
 0.944 18.93 -25.13  0.95
 0.966 19.06 -25.04  0.95
 0.954 18.49 -25.59  0.95
 2.024 17.87 -27.87  0.95
 1.151 18.83 -25.58  0.95
 1.098 19.10 -25.22  0.95
 0.594 17.84 -25.08  0.95
 0.465 18.46 -23.87  0.95
 0.840 18.77 -25.05  0.95
 2.078 18.39 -27.43  0.95
 3.117 19.78 -27.02  0.69
 2.208 18.76 -27.24  0.92
 1.562 18.89 -26.14  0.95
 1.539 18.65 -26.34  0.95
 0.464 18.14 -24.18  0.95
 1.979 17.93 -27.75  0.95
 3.996 20.01 -27.36  0.92
 1.863 18.45 -27.03  0.95
 0.838 17.42 -26.40  0.95
 1.432 18.74 -26.13  0.95
 1.766 18.70 -26.64  0.95
 1.218 19.07 -25.45  0.95
 1.627 18.04 -27.09  0.95
 0.434 18.03 -24.15  0.95
 1.162 17.71 -26.71  0.95
 0.787 18.19 -25.49  0.95
 0.449 18.93 -23.31  0.95
 1.999 17.96 -27.75  0.95
 0.592 18.97 -23.93  0.95
 1.774 18.29 -27.07  0.95
 1.808 18.95 -26.46  0.95
 1.131 18.69 -25.68  0.95
 0.932 17.25 -26.79  0.95
 0.590 18.71 -24.19  0.95
 1.085 19.09 -25.20  0.95
 0.390 18.56 -23.44  0.95
 2.300 18.87 -27.25  0.77
 1.549 19.10 -25.91  0.95
 0.890 18.70 -25.24  0.95
 1.869 19.07 -26.42  0.95
 1.130 17.92 -26.45  0.95
 0.916 17.81 -26.20  0.95
 1.126 18.73 -25.64  0.95
 3.806 20.07 -27.17  0.92
 1.207 18.61 -25.89  0.95
 1.591 18.27 -26.81  0.95
 0.522 18.65 -23.96  0.95
 0.525 18.83 -23.79  0.95
 3.102 19.59 -27.20  0.73
 1.525 18.72 -26.25  0.95
 2.217 18.85 -27.17  0.93
 1.431 18.34 -26.53  0.95
 2.361 18.68 -27.51  0.73
 0.463 18.97 -23.34  0.95
 1.467 18.67 -26.23  0.95
 1.427 18.99 -25.87  0.95
 4.063 19.98 -27.44  0.92
 2.034 18.78 -26.98  0.95
 1.444 18.29 -26.60  0.95
 0.686 17.97 -25.35  0.92
 0.459 18.85 -23.45  0.95
 0.760 17.86 -25.74  0.95
 0.773 18.41 -25.22  0.95
 1.659 18.63 -26.56  0.95
 3.980 19.37 -27.99  0.94
 2.600 18.17 -28.25  0.60
 1.857 18.76 -26.72  0.95
 3.216 18.59 -28.28  0.85
 3.650 19.07 -28.05  0.90
 0.245 17.37 -23.39  0.95
 2.275 18.98 -27.12  0.85
 3.066 20.00 -26.76  0.56
 1.993 18.82 -26.88  0.95
 3.426 19.75 -27.27  0.54
 1.779 18.97 -26.39  0.95
 1.504 18.98 -25.96  0.95
 1.392 18.89 -25.93  0.95
 2.388 18.92 -27.31  0.70
 1.751 17.96 -27.36  0.95
 1.266 17.81 -26.79  0.95
 1.087 18.63 -25.67  0.95
 0.748 17.63 -25.94  0.95
 1.809 17.62 -27.79  0.95
 1.645 18.29 -26.88  0.95
 1.638 18.36 -26.79  0.95
 1.509 18.49 -26.45  0.95
 1.232 18.60 -25.94  0.95
 1.345 18.93 -25.81  0.95
 0.834 18.54 -25.26  0.95
 2.802 18.94 -27.59  0.15
 0.830 18.80 -24.99  0.95
 3.143 20.18 -26.64  0.60
 0.515 17.91 -24.65  0.95
 1.901 18.46 -27.08  0.95
 2.091 18.89 -26.96  0.95
 1.724 17.82 -27.47  0.95
 1.809 18.51 -26.90  0.95
 4.024 19.75 -27.64  0.93
 0.800 18.25 -25.47  0.95
 3.132 18.56 -28.25  0.83
 1.365 18.52 -26.26  0.95
 1.663 17.97 -27.22  0.95
 1.076 19.06 -25.22  0.95
 0.471 18.64 -23.71  0.95
 2.307 18.26 -27.87  0.82
 1.821 18.62 -26.81  0.95
 1.682 19.02 -26.20  0.95
 1.676 18.90 -26.31  0.95
 1.181 18.96 -25.49  0.95
 0.810 17.77 -25.97  0.95
 1.778 18.99 -26.37  0.95
 3.017 20.14 -26.59  0.35
 0.556 17.37 -25.39  0.95
 1.386 19.08 -25.73  0.95
 2.382 18.18 -28.04  0.76
 1.922 18.62 -26.96  0.95
 0.502 17.81 -24.70  0.95
 0.665 18.76 -24.47  0.93
 1.310 18.94 -25.74  0.95
 1.744 18.60 -26.71  0.95
 1.423 18.44 -26.42  0.95
 1.598 18.98 -26.11  0.95
 0.583 17.51 -25.36  0.95
 0.678 18.95 -24.33  0.95
 1.278 18.83 -25.80  0.95
 3.887 19.48 -27.83  0.90
 2.926 17.50 -29.14  0.47
 2.026 19.01 -26.74  0.95
 0.822 17.16 -26.62  0.95
 2.256 19.07 -26.99  0.84
 0.234 17.64 -22.93  0.95
 1.271 18.94 -25.68  0.95
 1.840 19.00 -26.45  0.95
 0.709 18.25 -25.18  0.95
 1.030 19.09 -25.12  0.95
 0.482 19.00 -23.41  0.95
 0.976 18.25 -25.87  0.95
 3.043 20.00 -26.75  0.40
 0.808 18.87 -24.87  0.95
 2.681 19.00 -27.46  0.09
 1.761 17.50 -27.83  0.95
 1.617 18.04 -27.08  0.95
 1.387 18.34 -26.47  0.95
 0.131 15.49 -23.61  0.95
 1.388 18.90 -25.91  0.95
 1.685 18.29 -26.93  0.95
 1.360 18.51 -26.26  0.95
 1.887 18.87 -26.65  0.95
 1.859 19.01 -26.47  0.95
 0.552 16.79 -25.95  0.95
 1.600 17.19 -27.91  0.95
 1.200 19.01 -25.47  0.95
 0.694 17.95 -25.42  0.92
 3.894 19.66 -27.65  0.88
 3.062 17.93 -28.83  0.79
 1.396 19.03 -25.79  0.95
 1.532 16.39 -28.59  0.95
 1.814 18.32 -27.09  0.95
 3.488 19.84 -27.20  0.56
 1.335 18.32 -26.40  0.95
 1.297 19.01 -25.65  0.95
 0.845 18.79 -25.04  0.95
 1.653 19.09 -26.08  0.95
 2.152 18.29 -27.64  0.94
 2.024 17.18 -28.56  0.95
 1.083 18.95 -25.35  0.95
 3.157 19.80 -27.03  0.68
 4.100 19.78 -27.66  0.94
 1.542 18.11 -26.88  0.95
 1.508 18.82 -26.13  0.95
 2.335 18.04 -28.12  0.83
 1.117 18.49 -25.86  0.95
 0.542 18.23 -24.46  0.95
 1.516 18.85 -26.11  0.95
 2.890 18.93 -27.68  0.42
 1.181 17.81 -26.65  0.95
 0.438 18.69 -23.51  0.95
 1.501 19.04 -25.90  0.95
 3.365 19.50 -27.50  0.79
 0.494 18.73 -23.74  0.95
 1.172 18.84 -25.60  0.95
 3.081 19.55 -27.23  0.65
 1.642 17.66 -27.50  0.95
 0.810 17.89 -25.85  0.95
 0.562 18.39 -24.41  0.95
 0.458 18.92 -23.37  0.95
 1.550 18.60 -26.41  0.95
 0.440 16.88 -25.33  0.95
 1.288 18.11 -26.54  0.95
 2.265 18.34 -27.73  0.95
 1.195 18.72 -25.76  0.95
 1.861 18.49 -26.99  0.95
 1.881 18.86 -26.65  0.95
 1.580 18.55 -26.51  0.95
 0.308 18.20 -23.27  0.95
 1.024 18.87 -25.33  0.95
 1.393 18.50 -26.32  0.95
 1.817 18.57 -26.84  0.95
 1.698 19.06 -26.19  0.95
 1.280 18.33 -26.30  0.95
 1.837 18.44 -27.01  0.95
 1.607 18.67 -26.44  0.95
 2.081 18.83 -26.99  0.95
 1.778 18.44 -26.92  0.95
 1.964 17.38 -28.28  0.95
 0.973 18.62 -25.50  0.95
 2.073 18.65 -27.17  0.95
 1.467 18.35 -26.55  0.95
 0.934 17.94 -26.10  0.95
 1.507 18.40 -26.54  0.95
 1.466 19.04 -25.86  0.95
 1.379 18.51 -26.29  0.95
 2.496 17.75 -28.59  0.77
 1.728 18.62 -26.67  0.95
 1.300 19.02 -25.65  0.95
 4.216 19.47 -28.06  0.94
 1.836 18.73 -26.71  0.95
 1.865 18.67 -26.81  0.95
 1.569 19.05 -26.00  0.95
 1.460 19.00 -25.90  0.95
 1.922 18.24 -27.34  0.95
 1.475 18.54 -26.38  0.95
 1.815 18.55 -26.87  0.95
 1.312 18.24 -26.45  0.95
 1.797 18.75 -26.64  0.95
 1.538 18.21 -26.78  0.95
 0.335 16.74 -24.93  0.95
 1.231 18.65 -25.89  0.95
 1.884 18.22 -27.29  0.95
 0.730 18.46 -25.04  0.95
 1.373 18.88 -25.91  0.95
 2.966 19.53 -27.15  0.33
 1.645 17.31 -27.86  0.95
 1.409 18.18 -26.66  0.95
 0.853 18.61 -25.24  0.95
 1.124 17.07 -27.29  0.95
 1.081 18.83 -25.46  0.95
 2.064 18.75 -27.05  0.95
 0.504 18.93 -23.59  0.95
 1.826 18.90 -26.53  0.95
 1.149 18.91 -25.50  0.95
 1.901 18.64 -26.90  0.95
 1.565 17.57 -27.47  0.95
 2.960 18.62 -28.06  0.95
 2.258 19.07 -27.00  0.84
 1.425 18.83 -26.03  0.95
 1.275 18.41 -26.21  0.95
 1.284 18.62 -26.02  0.95
 2.270 18.69 -27.40  0.86
 1.949 18.93 -26.70  0.95
 0.704 18.76 -24.65  0.94
 1.470 18.35 -26.56  0.95
 0.720 18.51 -24.96  0.95
 0.584 17.11 -25.76  0.95
 1.783 18.87 -26.50  0.95
 1.811 18.50 -26.91  0.95
 0.545 18.70 -24.00  0.95
 0.964 19.08 -25.02  0.95
 0.621 18.37 -24.65  0.94
 1.509 19.00 -25.94  0.95
 1.248 18.45 -26.12  0.95
 0.993 18.88 -25.27  0.95
 1.339 18.92 -25.81  0.95
 0.962 18.84 -25.26  0.95
 1.550 17.80 -27.21  0.95
 0.831 17.88 -25.92  0.95
 1.273 18.27 -26.35  0.95
 3.666 19.88 -27.26  0.80
 2.206 17.76 -28.24  0.93
 3.931 19.97 -27.37  0.94
 1.750 18.66 -26.66  0.95
 0.432 19.09 -23.08  0.95
 1.493 18.21 -26.72  0.95
 3.562 19.75 -27.31  0.55
 1.577 18.47 -26.58  0.95
 1.608 18.94 -26.17  0.95
 0.977 18.42 -25.70  0.95
 0.602 18.92 -24.02  0.94
 1.748 18.98 -26.34  0.95
 0.975 19.05 -25.07  0.95
 1.611 17.53 -27.58  0.95
 2.052 17.73 -28.05  0.95
 2.037 18.53 -27.23  0.95
 3.116 19.07 -27.73  0.81
 1.803 16.84 -28.55  0.95
 1.435 17.69 -27.18  0.95
 1.986 18.79 -26.90  0.95
 1.169 19.04 -25.39  0.95
 1.299 18.30 -26.37  0.95
 0.720 18.50 -24.96  0.95
 0.550 18.54 -24.19  0.95
 1.532 19.05 -25.93  0.95
 3.108 20.08 -26.71  0.62
 2.973 20.05 -26.64  0.28
 0.818 19.05 -24.71  0.95
 0.473 18.26 -24.11  0.95
 1.602 18.94 -26.15  0.95
 1.022 17.85 -26.35  0.95
 1.554 17.83 -27.19  0.95
 0.688 18.63 -24.70  0.95
 1.475 18.52 -26.39  0.95
 2.225 19.06 -26.97  0.92
 1.951 18.65 -26.98  0.95
 1.556 18.47 -26.55  0.95
 0.806 18.93 -24.80  0.95
 2.119 17.95 -27.94  0.95
 1.508 19.10 -25.85  0.95
 0.656 18.62 -24.56  0.93
 1.975 16.64 -29.04  0.95
 1.811 18.00 -27.41  0.95
 1.135 18.83 -25.55  0.95
 2.130 19.04 -26.86  0.95
 3.094 20.20 -26.59  0.52
 0.490 18.61 -23.83  0.95
 0.909 17.78 -26.21  0.95
 1.629 16.64 -28.50  0.95
 0.750 18.02 -25.55  0.94
 1.311 17.58 -27.11  0.95
 1.151 19.07 -25.33  0.95
 1.453 18.78 -26.12  0.95
 0.866 18.46 -25.42  0.95
 1.552 18.56 -26.46  0.95
 1.757 18.43 -26.90  0.95
 1.396 18.39 -26.43  0.95
 0.697 18.82 -24.55  0.93
 0.924 18.49 -25.53  0.95
 1.559 18.84 -26.19  0.95
 2.201 18.63 -27.36  0.93
 1.635 19.04 -26.11  0.95
 1.715 18.59 -26.68  0.95
 1.036 18.98 -25.24  0.95
 1.815 18.25 -27.17  0.95
 1.643 18.67 -26.49  0.95
 1.676 18.99 -26.23  0.95
 1.773 17.75 -27.60  0.95
 1.116 17.89 -26.46  0.95
 1.150 18.46 -25.94  0.95
 1.796 18.79 -26.59  0.95
 0.542 18.10 -24.60  0.95
 1.744 19.06 -26.26  0.95
 1.929 18.37 -27.22  0.95
 1.894 18.91 -26.62  0.95
 4.496 18.59 -29.13  0.95
 3.649 20.07 -27.05  0.65
 0.405 18.70 -23.37  0.95
 0.880 18.94 -24.98  0.95
 1.617 18.75 -26.37  0.95
 3.381 18.16 -28.85  0.95
 0.521 18.95 -23.65  0.95
 2.323 18.43 -27.72  0.81
 0.373 18.36 -23.55  0.95
 1.911 18.26 -27.30  0.95
 1.042 18.60 -25.63  0.95
 1.647 18.64 -26.53  0.95
 3.281 19.70 -27.22  0.80
 1.235 18.45 -26.10  0.95
 1.412 18.86 -25.98  0.95
 3.446 18.66 -28.37  0.77
 2.304 19.09 -27.03  0.78
 1.434 18.41 -26.47  0.95
 1.192 18.65 -25.82  0.95
 1.179 19.04 -25.41  0.95
 0.781 18.45 -25.21  0.95
 1.827 17.99 -27.44  0.95
 3.337 19.89 -27.08  0.73
 1.369 18.80 -25.97  0.95
 0.763 17.22 -26.40  0.95
 2.355 18.77 -27.41  0.73
 3.784 20.01 -27.21  0.92
 0.526 18.21 -24.41  0.95
 1.759 18.80 -26.53  0.95
 0.662 18.11 -25.10  0.95
 0.714 18.90 -24.54  0.95
 1.190 19.01 -25.46  0.95
 2.518 17.29 -29.08  0.95
 0.600 19.00 -23.94  0.94
 1.213 18.96 -25.55  0.95
 1.489 18.81 -26.12  0.95
 1.048 18.36 -25.87  0.95
 1.778 18.97 -26.39  0.95
 2.602 18.87 -27.56  0.26
 1.581 18.97 -26.09  0.95
 0.364 18.29 -23.57  0.95
 1.923 18.31 -27.28  0.95
 2.261 18.59 -27.48  0.87
 1.540 18.77 -26.22  0.95
 0.204 16.04 -24.17  0.95
 2.882 18.69 -27.92  0.43
 1.157 18.05 -26.37  0.95
 1.221 18.76 -25.76  0.95
 3.192 19.29 -27.56  0.79
 1.877 18.65 -26.86  0.95
 3.717 17.92 -29.26  0.94
 5.275 19.16 -28.98  0.95
 1.286 18.82 -25.83  0.95
 0.633 18.54 -24.53  0.95
 0.827 18.98 -24.81  0.95
 1.537 17.94 -27.05  0.95
 3.029 20.14 -26.60  0.35
 1.764 18.28 -27.06  0.95
 2.542 18.43 -27.95  0.68
 0.956 19.01 -25.07  0.95
 2.170 19.31 -26.64  0.00
 1.331 18.75 -25.97  0.95
 1.226 17.31 -27.22  0.95
 3.051 19.18 -27.57  0.72
 0.850 18.76 -25.09  0.95
 1.454 18.00 -26.90  0.95
 1.741 17.65 -27.66  0.95
 2.288 17.91 -28.20  0.88
 2.906 19.81 -26.82  0.16
 1.475 17.74 -27.17  0.95
 1.550 18.80 -26.20  0.95
 1.184 18.71 -25.74  0.95
 2.222 18.59 -27.44  0.93
 1.667 18.88 -26.32  0.95
 1.727 17.88 -27.42  0.95
 1.438 18.95 -25.93  0.95
 1.024 18.93 -25.27  0.95
 0.555 18.15 -24.60  0.95
 2.551 16.90 -29.49  0.62
 1.079 18.83 -25.46  0.95
 2.268 18.02 -28.06  0.88
 1.685 18.50 -26.73  0.95
 1.638 19.07 -26.09  0.95
 3.083 20.05 -26.73  0.56
 1.863 17.95 -27.53  0.95
 0.548 18.79 -23.94  0.95
 0.715 18.10 -25.35  0.95
 2.178 18.91 -27.06  0.94
 1.744 18.63 -26.69  0.95
 3.873 19.21 -28.08  0.92
 1.556 18.24 -26.78  0.95
 1.262 18.76 -25.84  0.95
 3.744 18.98 -28.21  0.94
 1.274 18.88 -25.74  0.95
 0.409 17.35 -24.73  0.95
 1.026 18.93 -25.27  0.95
 0.422 19.07 -23.06  0.95
 1.520 18.90 -26.07  0.95
 0.735 18.82 -24.70  0.94
 0.272 17.74 -23.42  0.95
 0.628 18.27 -24.79  0.94
 0.926 19.03 -25.00  0.95
 1.838 18.39 -27.06  0.95
 0.364 17.64 -24.21  0.95
 1.998 18.39 -27.32  0.95
 4.393 19.63 -28.06  0.95
 1.543 18.93 -26.07  0.95
 2.652 19.86 -26.58  0.00
 1.798 18.29 -27.10  0.95
 0.724 19.02 -24.46  0.94
 0.525 18.39 -24.22  0.95
 0.765 19.08 -24.54  0.95
 2.149 19.02 -26.90  0.95
 1.077 18.97 -25.31  0.95
 3.911 18.98 -28.34  0.94
 1.773 17.91 -27.44  0.95
 3.023 19.12 -27.61  0.53
 1.043 18.83 -25.40  0.95
 3.216 19.38 -27.49  0.80
 1.187 18.50 -25.97  0.95
 1.686 18.94 -26.29  0.95
 0.540 18.49 -24.19  0.95
 2.054 18.66 -27.13  0.95
 3.033 19.36 -27.38  0.52
 1.125 19.09 -25.27  0.95
 3.806 18.67 -28.58  0.94
 1.588 18.77 -26.30  0.95
 1.192 18.82 -25.65  0.95
 0.967 18.39 -25.72  0.95
 1.647 18.05 -27.12  0.95
 1.519 18.64 -26.32  0.95
 2.001 19.05 -26.67  0.95
 1.560 19.10 -25.93  0.95
 2.007 18.12 -27.60  0.95
 3.626 19.83 -27.27  0.64
 0.416 18.72 -23.39  0.95
 1.616 18.72 -26.40  0.95
 0.531 18.70 -23.94  0.95
 3.228 20.19 -26.69  0.69
 3.236 18.78 -28.11  0.85
 2.273 18.39 -27.70  0.88
 3.362 19.64 -27.35  0.76
 1.258 17.38 -27.21  0.95
 1.619 18.90 -26.22  0.95
 1.609 19.08 -26.03  0.95
 1.519 17.87 -27.09  0.95
 0.820 18.40 -25.37  0.95
 1.194 18.54 -25.93  0.95
 1.223 18.89 -25.64  0.95
 1.081 17.74 -26.55  0.95
 0.586 18.93 -23.96  0.95
 0.258 17.08 -23.88  0.95
 3.267 18.19 -28.73  0.89
 4.115 19.79 -27.66  0.94
 1.003 18.68 -25.48  0.95
 1.979 19.03 -26.65  0.95
 1.328 18.40 -26.32  0.95
 1.823 18.55 -26.87  0.95
 2.108 18.84 -27.02  0.95
 2.323 18.17 -27.98  0.82
 0.887 18.90 -25.04  0.95
 1.634 18.35 -26.80  0.95
 0.690 17.97 -25.37  0.92
 0.749 18.86 -24.71  0.94
 1.489 18.61 -26.32  0.95
 0.537 18.66 -24.01  0.95
 1.396 18.92 -25.90  0.95
 1.155 18.67 -25.74  0.95
 2.103 19.06 -26.80  0.95
 1.476 15.77 -29.14  0.95
 1.940 18.63 -26.98  0.95
 1.305 18.88 -25.80  0.95
 1.849 18.24 -27.22  0.95
 1.610 17.95 -27.16  0.95
 2.106 17.93 -27.93  0.95
 1.406 17.88 -26.95  0.95
 1.183 18.71 -25.75  0.95
 1.136 18.92 -25.46  0.95
 1.705 17.34 -27.92  0.95
 2.048 18.06 -27.73  0.95
 2.339 18.94 -27.23  0.77
 3.773 19.17 -28.05  0.94
 2.678 17.55 -28.91  0.95
 0.909 18.42 -25.57  0.95
 0.682 18.62 -24.68  0.93
 1.617 18.63 -26.49  0.95
 1.967 18.94 -26.72  0.95
 1.680 18.86 -26.36  0.95
 1.590 18.75 -26.33  0.95
 1.782 18.53 -26.84  0.95
 0.677 18.15 -25.13  0.94
 0.829 20.16 -23.63  0.00
 1.345 18.93 -25.81  0.95
 2.946 19.06 -27.60  0.95
 0.570 18.61 -24.22  0.95
 1.546 17.93 -27.07  0.95
 0.726 18.58 -24.91  0.95
 0.655 17.54 -25.64  0.93
 1.470 18.73 -26.18  0.95
 1.024 16.64 -27.56  0.95
 1.772 18.80 -26.55  0.95
 0.658 18.14 -25.05  0.94
 1.589 19.00 -26.08  0.95
 0.404 19.02 -23.03  0.95
 2.000 19.79 -25.92  0.00
 3.060 19.96 -26.79  0.59
 1.491 18.96 -25.96  0.95
 1.183 18.93 -25.53  0.95
 2.222 18.74 -27.28  0.92
 1.718 17.58 -27.70  0.95
 1.387 18.98 -25.82  0.95
 1.077 18.98 -25.30  0.95
 0.402 18.99 -23.06  0.95
 1.139 18.52 -25.86  0.95
 0.364 17.14 -24.71  0.95
 2.638 19.08 -27.35  0.24
 1.519 16.87 -28.09  0.95
 0.671 19.09 -24.16  0.90
 1.843 17.43 -28.02  0.95
 1.085 18.23 -26.06  0.95
 1.409 19.03 -25.81  0.95
 1.007 18.48 -25.70  0.95
 2.344 17.21 -28.96  0.95
 3.780 20.17 -27.06  0.88
 0.790 18.79 -24.90  0.95
 1.692 18.12 -27.12  0.95
 0.516 18.88 -23.69  0.95
 3.017 19.11 -27.62  0.53
 1.667 19.00 -26.20  0.95
 1.771 18.07 -27.28  0.95
 0.506 18.98 -23.54  0.95
 1.825 18.69 -26.73  0.95
 2.106 19.08 -26.78  0.95
 1.819 19.01 -26.41  0.95
 1.524 18.39 -26.58  0.95
 1.770 18.85 -26.50  0.95
 1.686 17.66 -27.57  0.95
 2.288 18.48 -27.63  0.88
 1.869 18.23 -27.26  0.95
 2.062 18.63 -27.17  0.95
 3.249 19.70 -27.20  0.77
 0.472 17.98 -24.39  0.95
 0.721 17.43 -26.04  0.94
 0.419 18.69 -23.43  0.95
 1.814 17.36 -28.05  0.95
 1.099 18.33 -25.99  0.95
 1.504 18.61 -26.34  0.95
 0.558 18.35 -24.42  0.95
 1.320 19.00 -25.69  0.95
 1.213 18.91 -25.60  0.95
 1.152 18.83 -25.58  0.95
 0.558 18.96 -23.81  0.95
 1.887 18.46 -27.06  0.95
 3.648 19.59 -27.53  0.73
 0.904 18.35 -25.63  0.95
 1.876 18.40 -27.10  0.95
 0.473 18.43 -23.94  0.95
 1.738 18.28 -27.03  0.95
 0.303 18.32 -23.12  0.95
 1.849 18.55 -26.92  0.95
 0.744 18.72 -24.83  0.94
 1.972 18.52 -27.14  0.95
 3.625 19.78 -27.32  0.73
 1.737 18.93 -26.38  0.95
 3.575 20.14 -26.93  0.43
 1.678 18.73 -26.48  0.95
 1.146 18.61 -25.79  0.95
 1.511 18.30 -26.65  0.95
 3.575 19.65 -27.41  0.64
 1.510 18.17 -26.78  0.95
 0.831 18.55 -25.25  0.95
 3.529 19.57 -27.48  0.56
 0.909 18.93 -25.06  0.95
 1.189 18.53 -25.94  0.95
 3.101 19.01 -27.78  0.81
 1.345 18.57 -26.17  0.95
 0.932 18.06 -25.98  0.95
 4.559 18.56 -29.16  0.95
 0.725 18.40 -25.08  0.95
 1.421 18.92 -25.94  0.95
 0.913 16.97 -27.03  0.95
 1.905 18.75 -26.80  0.95
 1.100 18.68 -25.65  0.95
 4.180 19.72 -27.78  0.94
 2.711 19.94 -26.53  0.00
 1.767 19.08 -26.26  0.95
 1.838 17.45 -27.99  0.95
 2.415 18.87 -27.38  0.69
 4.106 20.04 -27.41  0.94
 0.849 18.54 -25.31  0.95
 1.609 19.09 -26.02  0.95
 1.017 19.00 -25.19  0.95
 0.792 18.94 -24.75  0.95
 3.897 18.91 -28.40  0.94
 1.401 18.76 -26.07  0.95
 3.409 19.70 -27.32  0.54
 3.699 19.66 -27.50  0.81
 0.858 18.52 -25.34  0.95
 1.288 17.67 -26.98  0.95
 2.919 20.17 -26.46  0.13
 0.588 18.98 -23.91  0.95
 3.636 19.77 -27.35  0.73
 1.346 18.02 -26.72  0.95
 0.797 17.77 -25.94  0.95
 3.054 20.03 -26.73  0.56
 0.866 18.39 -25.50  0.95
 1.405 18.84 -25.99  0.95
 1.780 19.07 -26.29  0.95
 2.993 18.56 -28.15  0.95
 1.964 18.64 -27.01  0.95
 1.515 18.40 -26.56  0.95
 1.846 19.09 -26.37  0.95
 2.280 18.90 -27.19  0.85
 4.025 20.01 -27.38  0.93
 0.361 18.48 -23.36  0.95
 2.933 19.15 -27.50  0.20
 0.447 18.86 -23.38  0.95
 1.512 18.97 -25.98  0.95
 1.633 18.65 -26.49  0.95
 0.573 18.94 -23.90  0.95
 0.361 17.26 -24.58  0.95
 0.477 18.31 -24.08  0.95
 1.902 18.82 -26.72  0.95
 0.745 18.82 -24.73  0.94
 1.062 18.88 -25.38  0.95
 2.257 18.78 -27.29  0.86
 1.998 17.08 -28.63  0.95
 1.889 18.74 -26.78  0.95
 1.066 19.04 -25.23  0.95
 2.656 19.03 -27.41  0.10
 1.475 18.99 -25.92  0.95
 1.926 18.85 -26.74  0.95
 0.467 18.46 -23.88  0.95
 0.758 18.75 -24.85  0.95
 2.116 18.88 -27.00  0.95
 1.828 18.01 -27.43  0.95
 1.730 17.91 -27.39  0.95
 2.841 19.04 -27.53  0.13
 2.040 18.78 -26.99  0.95
 1.749 17.71 -27.61  0.95
 0.875 18.88 -25.03  0.95
 1.317 18.64 -26.05  0.95
 1.772 19.06 -26.29  0.95
 0.858 18.70 -25.17  0.95
 1.434 18.53 -26.34  0.95
 0.823 19.03 -24.75  0.95
 2.726 19.60 -26.88  0.00
 2.560 17.89 -28.50  0.61
 1.334 19.07 -25.65  0.95
 0.525 18.82 -23.80  0.95
 2.002 19.02 -26.69  0.95
 2.384 18.50 -27.72  0.75
 1.421 18.83 -26.03  0.95
